"","종목코드","종목명","종가","대비","등락률","EPS","PER","선행 EPS","선행 PER","BPS","PBR","주당배당금","배당수익률"
"89","403870","HPSP",58100,-2200,-3.65,2130,27.28,4014,14.48,3157,18.4,0,0
"90","036640","HRS",5300,-100,-1.85,1303,4.07,NA,NA,6224,0.85,200,3.77
"91","082740","HSD엔진",8010,20,0.25,NA,NA,617,12.98,3511,2.28,0,0
"92","405350","IBKS제17호스팩",2375,0,0,NA,NA,NA,NA,NA,NA,0,0
"93","424760","IBKS제18호스팩",3605,-20,-0.55,NA,NA,NA,NA,NA,NA,0,0
"94","426550","IBKS제19호스팩",2190,0,0,NA,NA,NA,NA,NA,NA,0,0
"95","439730","IBKS제20호스팩",2185,-5,-0.23,NA,NA,NA,NA,NA,NA,0,0
"96","442770","IBKS제21호스팩",2200,35,1.62,NA,NA,NA,NA,NA,NA,0,0
"97","003560","IHQ",345,2,0.58,NA,NA,NA,NA,800,0.43,0,0
"98","095340","ISC",36450,-250,-0.68,2202,16.55,3719,9.8,14083,2.59,200,0.55
"99","099520","ITX-AI",2570,0,0,NA,NA,NA,NA,622,4.13,0,0
"100","175330","JB금융지주",9280,-240,-2.52,2510,3.7,3174,2.92,21392,0.43,599,6.45
"101","234080","JW생명과학",12380,-260,-2.06,829,14.93,NA,NA,8492,1.46,500,4.04
"102","067290","JW신약",3310,-70,-2.07,18,183.89,NA,NA,1149,2.88,0,0
"103","001060","JW중외제약",21350,-250,-1.16,NA,NA,1998,10.68,8650,2.47,325,1.52
"104","001067","JW중외제약2우B",60500,-100,-0.17,NA,NA,NA,NA,NA,NA,325,0.54
"105","001065","JW중외제약우",32500,-50,-0.15,NA,NA,NA,NA,NA,NA,350,1.08
"106","096760","JW홀딩스",3170,-5,-0.16,NA,NA,NA,NA,1356,2.34,90,2.84
"107","035900","JYP Ent.",76000,3000,4.11,2038,37.29,2691,28.24,7451,10.2,369,0.49
"108","318000","KBG",6920,-300,-4.16,494,14.01,NA,NA,3904,1.77,100,1.45
"109","024840","KBI메탈",1453,-6,-0.41,NA,NA,NA,NA,2939,0.49,0,0
"110","105560","KB금융",49700,-900,-1.78,11134,4.46,11983,4.15,121808,0.41,2940,5.92
"111","024120","KB오토시스",4375,-70,-1.57,NA,NA,NA,NA,8880,0.49,120,2.74
"112","002380","KCC",247500,-5000,-1.98,NA,NA,32820,7.54,657509,0.38,7000,2.83
"113","021320","KCC건설",6930,-200,-2.81,2363,2.93,NA,NA,22186,0.31,180,2.6
"114","344820","KCC글라스",41550,-600,-1.42,7353,5.65,NA,NA,87084,0.48,2400,5.78
"115","036670","KCI",8960,-120,-1.32,944,9.49,NA,NA,7674,1.17,200,2.23
"116","009070","KCTC",4570,-80,-1.72,681,6.71,NA,NA,7431,0.61,60,1.31
"117","009440","KC그린홀딩스",3055,-65,-2.08,122,25.04,NA,NA,7257,0.42,70,2.29
"118","119650","KC코트렐",1796,-74,-3.96,623,2.88,NA,NA,2283,0.79,0,0
"119","044180","KD",736,-7,-0.94,NA,NA,NA,NA,1578,0.47,0,0
"120","092220","KEC",2515,-120,-4.55,80,31.44,NA,NA,1884,1.33,0,0
"121","151860","KG ETS",13260,-700,-5.01,1389,9.55,NA,NA,8862,1.5,120,0.9
"122","046440","KG모빌리언스",6570,-160,-2.38,785,8.37,1060,6.2,7727,0.85,220,3.35
"123","016380","KG스틸",9070,-1500,-14.19,1908,4.75,NA,NA,11498,0.79,100,1.1
"124","035600","KG이니시스",12950,-400,-3,1808,7.16,2400,5.39,13469,0.96,400,3.09
"125","001390","KG케미칼",23500,-1200,-4.86,5749,4.09,NA,NA,34343,0.68,500,2.13
"126","226360","KH 건설",417,-12,-2.8,NA,NA,NA,NA,1363,0.31,0,0
"127","111870","KH 전자",262,-5,-1.87,NA,NA,NA,NA,972,0.27,0,0
"128","033180","KH 필룩스",639,-20,-3.03,NA,NA,NA,NA,3088,0.21,0,0
"129","060720","KH바텍",14580,-330,-2.21,1473,9.9,1644,8.87,9612,1.52,300,2.06
"130","001940","KISCO홀딩스",21200,100,0.47,8106,2.62,NA,NA,68463,0.31,400,1.89
"131","058400","KNN",951,-20,-2.06,69,13.78,NA,NA,1552,0.61,20,2.1
"132","114450","KPX생명과학",4470,-75,-1.65,NA,NA,NA,NA,3753,1.19,0,0
"133","025000","KPX케미칼",49200,0,0,10123,4.86,NA,NA,119120,0.41,2750,5.59
"134","092230","KPX홀딩스",54900,-200,-0.36,11573,4.74,NA,NA,208904,0.26,3000,5.46
"135","000040","KR모터스",513,-10,-1.91,NA,NA,NA,NA,385,1.33,0,0
"136","044450","KSS해운",9140,0,0,2497,3.66,NA,NA,15261,0.6,350,3.83
"137","030200","KT",32200,-200,-0.62,5759,5.59,5200,6.19,63512,0.51,1910,5.93
"138","033780","KT&G",89100,-600,-0.67,7898,11.28,7587,11.74,76336,1.17,4800,5.39
"139","058850","KTcs",4035,-145,-3.47,454,8.89,NA,NA,4374,0.92,100,2.48
"140","058860","KTis",4280,-190,-4.25,767,5.58,NA,NA,5909,0.72,100,2.34
"141","060370","KT서브마린",5820,-10,-0.17,NA,NA,NA,NA,4848,1.2,30,0.52
"142","122450","KX",6110,120,2,896,6.82,NA,NA,5636,1.08,0,0
"143","052900","KX하이텍",1362,-26,-1.87,102,13.35,NA,NA,1998,0.68,0,0
"144","093050","LF",17710,110,0.63,4169,4.25,NA,NA,46904,0.38,600,3.39
"145","003550","LG",81800,-1800,-2.15,15504,5.28,12343,6.63,132574,0.62,2800,3.42
"146","034220","LG디스플레이",15620,-730,-4.46,3315,4.71,NA,NA,36664,0.43,650,4.16
"147","051900","LG생활건강",671000,-13000,-1.9,50395,13.31,30770,21.81,321556,2.09,12000,1.79
"148","051905","LG생활건강우",292500,-2500,-0.85,NA,NA,NA,NA,NA,NA,12050,4.12
