"","종목코드","종목명","종가","대비","등락률","시장구분","업종명","시가총액","EPS","PER","선행.EPS","선행.PER","BPS","PBR","주당배당금","배당수익률"
"93","128940","한미약품",261000,-6000,-2.25,"KOSPI","의약품",3278723238000,5385,48.47,9263,28.18,64542,4.04,500,0.19
"94","004990","롯데지주",31250,-100,-0.32,"KOSPI","기타금융",3278413656250,4315,7.24,3940,7.93,97570,0.32,1500,4.8
"95","307950","현대오토에버",116900,-1500,-1.27,"KOSPI","서비스업",3205863495800,2702,43.26,4662,25.08,49874,2.34,700,0.6
"96","282330","BGF리테일",183400,1700,0.94,"KOSPI","유통업",3169868360400,8547,21.46,13542,13.54,46849,3.91,3000,1.64
"97","007070","GS리테일",30250,200,0.67,"KOSPI","유통업",3167717140500,9096,3.33,2182,13.86,39822,0.76,1200,3.97
"98","008770","호텔신라",79500,-1300,-1.61,"KOSPI","유통업",3120225619500,714,111.34,3441,23.1,15228,5.22,200,0.25
"99","010620","현대미포조선",77000,0,0,"KOSPI","운수장비",3075545473000,NA,NA,2657,28.99,54249,1.42,0,0
"100","005940","NH투자증권",9250,-260,-2.73,"KOSPI","증권",3067909769250,3071,3.01,1391,6.65,21630,0.43,1050,11.35
"101","263750","펄어비스",45450,-500,-1.09,"KOSDAQ","디지털컨텐츠",2919519609750,973,46.71,1299,34.99,11757,3.87,0,0
"102","016360","삼성증권",32650,-1050,-3.12,"KOSPI","증권",2.915645e+12,10810,3.02,5971,5.47,68096,0.48,3800,11.64
"103","003410","쌍용C&E",5750,-210,-3.52,"KOSPI","비금속광물",2897192671250,370,15.54,297,19.33,3296,1.74,440,7.65
"104","041510","에스엠",121100,-2400,-1.94,"KOSDAQ","오락·문화",2883064151100,5750,21.06,4182,28.96,26333,4.6,200,0.17
"105","036460","한국가스공사",30850,-650,-2.06,"KOSPI","전기가스업",2847856050000,11078,2.78,16298,1.89,103337,0.3,2728,8.84
"106","048260","오스템임플란트",188700,-100,-0.05,"KOSDAQ","의료·정밀기기",2841854645100,1838,102.67,12636,14.93,15220,12.4,300,0.16
"107","020150","일진머티리얼즈",61200,-3700,-5.7,"KOSPI","전기전자",2821983102000,1361,44.97,2319,26.39,21440,2.85,300,0.49
"108","001450","현대해상",31550,450,1.45,"KOSPI","보험",2.82057e+12,5286,5.97,7021,4.49,63866,0.49,1480,4.69
"109","042660","대우조선해양",26150,150,0.58,"KOSPI","운수장비",2805650994350,NA,NA,1537,17.01,20672,1.26,0,0
"110","064350","현대로템",25400,-500,-1.93,"KOSPI","운수장비",2772214242200,609,41.71,1506,16.86,11847,2.14,0,0
"111","112610","씨에스윈드",65400,-2100,-3.11,"KOSPI","기계",2758009756200,1598,40.93,2210,29.59,21204,3.08,600,0.92
"112","039490","키움증권",103600,-2500,-2.36,"KOSPI","증권",2716341546800,31680,3.27,19422,5.33,149422,0.69,3500,3.38
"113","035900","JYP Ent.",76000,3000,4.11,"KOSDAQ","오락·문화",2697809392000,2038,37.29,2691,28.24,7451,10.2,369,0.49
"114","137310","에스디바이오센서",25800,-1100,-4.09,"KOSPI","의료정밀",2694870707400,10918,2.36,2484,10.39,21658,1.19,1266,4.91
"115","180640","한진칼",39550,-1050,-2.59,"KOSPI","운수창고업",2640429031800,247,160.12,4663,8.48,23786,1.66,0,0
"116","006040","동원산업",50200,-300,-0.59,"KOSPI","농업, 임업 및 어업",2509129783000,9921,5.06,NA,NA,84257,0.6,1000,1.99
"117","023530","롯데쇼핑",88200,-1200,-1.34,"KOSPI","유통업",2495068191000,NA,NA,6184,14.26,356677,0.25,2800,3.17
"118","058470","리노공업",162800,-4500,-2.69,"KOSDAQ","반도체",2481457836000,6839,23.8,9099,17.89,27518,5.92,2500,1.54
"119","272210","한화시스템",12870,-240,-1.83,"KOSPI","전기전자",2431392536430,642,20.05,251,51.22,11885,1.08,160,1.24
"120","052690","한전기술",63100,-1000,-1.56,"KOSPI","서비스업",2.411682e+12,432,146.06,786,80.26,13496,4.68,238,0.38
"121","278280","천보",241000,-18500,-7.13,"KOSDAQ","화학",2.41e+12,4438,54.3,7924,30.41,28680,8.4,300,0.12
"122","017390","서울가스",478500,3500,0.74,"KOSPI","전기가스업",2.3925e+12,2139,223.7,7167,66.77,266539,1.8,1750,0.37
"123","001040","CJ",81300,900,1.12,"KOSPI","기타금융",2372089937400,8197,9.92,11083,7.34,151085,0.54,2300,2.83
"124","014680","한솔케미칼",207500,-3000,-1.43,"KOSPI","화학",2352052962500,13332,15.56,16059,12.92,61936,3.35,2100,1.01
"125","336260","두산퓨얼셀",35700,-250,-0.7,"KOSPI","전기전자",2338126018200,106,336.79,393,90.91,6332,5.64,0,0
"126","030000","제일기획",20150,0,0,"KOSPI","서비스업",2318080683750,1634,12.33,1953,10.32,11030,1.83,990,4.91
"127","081660","휠라홀딩스",37950,-1050,-2.69,"KOSPI","유통업",2305546824900,3914,9.7,4434,8.56,26806,1.42,1000,2.64
"128","010060","OCI",95800,-1500,-1.54,"KOSPI","화학",2284769741800,27387,3.5,33036,2.9,128783,0.74,2000,2.09
"129","253450","스튜디오드래곤",75800,-1300,-1.69,"KOSDAQ","오락·문화",2278434148400,1301,58.26,2596,29.19,22785,3.33,0,0
"130","008930","한미사이언스",32550,-250,-0.76,"KOSPI","기타금융",2277098397000,626,52,NA,NA,10080,3.23,200,0.61
"131","068760","셀트리온제약",58700,-1800,-2.98,"KOSDAQ","제약",2213105873800,878,66.86,NA,NA,8427,6.97,0,0
"132","006260","LS",68700,200,0.29,"KOSPI","기타금융",2.21214e+12,10004,6.87,15470,4.44,127727,0.54,1450,2.11
"133","005070","코스모신소재",72000,-1000,-1.37,"KOSPI","화학",2206854432000,604,119.21,1541,46.71,6831,10.54,0,0
"134","002380","KCC",247500,-5000,-1.98,"KOSPI","화학",2199401572500,NA,NA,32820,7.54,657509,0.38,7000,2.83
"135","138930","BNK금융지주",6730,-120,-1.75,"KOSPI","기타금융",2193544205580,2341,2.87,2643,2.55,28745,0.23,560,8.32
"136","004370","농심",356500,-2500,-0.7,"KOSPI","음식료품",2168461873000,17263,20.65,23842,14.95,377778,0.94,4000,1.12
"137","204320","HL만도",45850,-1350,-2.86,"KOSPI","운수장비",2152983952000,3567,12.85,5247,8.74,41672,1.1,800,1.74
"138","088350","한화생명",2470,-30,-1.2,"KOSPI","보험",2145269100000,1455,1.7,624,3.96,15004,0.16,0,0
