"","종목코드","종목명","시장구분","업종명","종가","대비","등락률","시가총액"
"110","035420","NAVER","KOSPI","서비스업",211500,-4000,-1.86,34696381477500
"111","181710","NHN","KOSPI","서비스업",28350,-650,-2.24,1021087563300
"112","400760","NH올원리츠","KOSPI","서비스업",3580,-10,-0.28,1.51076e+11
"113","005940","NH투자증권","KOSPI","증권",9250,-260,-2.73,3067909769250
"114","005945","NH투자증권우","KOSPI","증권",8850,-10,-0.11,167008066800
"115","338100","NH프라임리츠","KOSPI","서비스업",4390,20,0.46,81917400000
"116","034310","NICE","KOSPI","서비스업",13480,-420,-3.02,510653404000
"117","008260","NI스틸","KOSPI","철강금속",6100,-40,-0.65,174460713700
"118","004250","NPC","KOSPI","화학",6970,-190,-2.65,255938400000
"119","004255","NPC우","KOSPI","화학",3620,-100,-2.69,19113600000
"120","010060","OCI","KOSPI","화학",95800,-1500,-1.54,2284769741800
"121","178920","PI첨단소재","KOSPI","화학",34100,100,0.29,1001391580200
"122","005490","POSCO홀딩스","KOSPI","철강금속",332000,-14000,-4.05,28077648360000
"123","010950","S-Oil","KOSPI","화학",82200,-1400,-1.67,9254305502400
"124","010955","S-Oil우","KOSPI","화학",50800,-600,-1.17,204313891600
"125","034120","SBS","KOSPI","서비스업",41500,-5000,-10.75,757482153000
"126","005090","SGC에너지","KOSPI","전기가스업",29950,-450,-1.48,439576269800
"127","001380","SG글로벌","KOSPI","운수장비",1475,-37,-2.45,66322110925
"128","004060","SG세계물산","KOSPI","유통업",558,-14,-2.45,112953127680
"129","001770","SHD","KOSPI","철강금속",36550,-900,-2.4,44403790900
"130","002360","SH에너지화학","KOSPI","화학",865,-7,-0.8,96130676450
"131","009160","SIMPAC","KOSPI","철강금속",5600,-10,-0.18,366405289600
"132","123700","SJM","KOSPI","운수장비",4265,-130,-2.96,66554889970
"133","025530","SJM홀딩스","KOSPI","유통업",3535,-135,-3.68,52791718280
"134","034730","SK","KOSPI","기타금융",184100,-3800,-2.02,13650891468900
"135","011790","SKC","KOSPI","화학",94400,-6300,-6.26,3574767331200
"136","018670","SK가스","KOSPI","유통업",125500,-600,-0.48,1158395622000
"137","001740","SK네트웍스","KOSPI","유통업",3965,-50,-1.25,984064020355
"138","001745","SK네트웍스우","KOSPI","유통업",49450,-850,-1.69,5619893600
"139","006120","SK디스커버리","KOSPI","기타금융",33150,-650,-1.92,631104893250
"140","006125","SK디스커버리우","KOSPI","기타금융",29300,-450,-1.51,39802731500
"141","210980","SK디앤디","KOSPI","서비스업",20700,-400,-1.9,459336394800
"142","068400","SK렌터카","KOSPI","서비스업",6860,-70,-1.01,324380862400
"143","395400","SK리츠","KOSPI","서비스업",5140,-30,-0.58,1010287966060
"144","302440","SK바이오사이언스","KOSPI","의약품",72300,-1000,-1.36,5551486525800
"145","326030","SK바이오팜","KOSPI","서비스업",66500,-1200,-1.77,5207831125000
"146","402340","SK스퀘어","KOSPI","기타금융",36600,-1300,-3.43,5177713098600
"147","361610","SK아이이테크놀로지","KOSPI","전기전자",65100,-2300,-3.41,4641473239200
"148","03473K","SK우","KOSPI","기타금융",165000,-1100,-0.66,93412275000
"149","096770","SK이노베이션","KOSPI","화학",158800,-3200,-1.98,14683531563200
"150","096775","SK이노베이션우","KOSPI","화학",99900,-1900,-1.87,124717757400
"151","001510","SK증권","KOSPI","증권",773,-30,-3.74,365312202183
"152","001515","SK증권우","KOSPI","증권",2940,-80,-2.65,11502791160
"153","285130","SK케미칼","KOSPI","화학",82100,-800,-0.97,1416535584300
"154","28513K","SK케미칼우","KOSPI","화학",38100,-900,-2.31,80597844900
"155","017670","SK텔레콤","KOSPI","통신업",45100,50,0.11,9869374794400
"156","000660","SK하이닉스","KOSPI","전기전자",89100,-2100,-2.3,64865010721500
"157","064960","SNT모티브","KOSPI","운수장비",48500,0,0,709222096000
"158","100840","SNT에너지","KOSPI","기계",20250,-500,-2.41,152010897750
"159","003570","SNT중공업","KOSPI","운수장비",9690,-60,-0.62,322218633930
"160","036530","SNT홀딩스","KOSPI","기타금융",16040,-200,-1.23,261514331440
"161","005610","SPC삼립","KOSPI","음식료품",70500,-1200,-1.67,608345134500
"162","011810","STX","KOSPI","유통업",4850,-75,-1.52,138814051900
"163","077970","STX엔진","KOSPI","기계",13760,240,1.78,316602519040
"164","071970","STX중공업","KOSPI","기계",6260,70,1.13,178739707940
"165","002820","SUN&L","KOSPI","종이목재",3250,0,0,40975964250
"166","084870","TBH글로벌","KOSPI","섬유의복",1788,-18,-1,37291992372
"167","002710","TCC스틸","KOSPI","철강금속",11870,-200,-1.66,301332045530
"168","069260","TKG휴켐스","KOSPI","화학",19610,-20,-0.1,801629110680
